PIRSF000001	cytochrome c/cytochrome c2
PIRSF000002	cytochrome c552
PIRSF000003	cytochrome c6
PIRSF000004	membrane-bound c-type cytochrome
PIRSF000005	cytochrome c4
PIRSF000006	cytochrome c oxidase, cbb3 type, FixP subunit
PIRSF000007	ubiquinol-cytochrome-c reductase, cytochrome c subunit
PIRSF000008	cytochrome c-L (cytochrome c551i )
PIRSF000009	cytochrome c551
PIRSF000010	cytochrome c1, heme protein
PIRSF000012	c-552-like low-potential diheme cytochrome c
PIRSF000013	denitrification system component NapC/NirT(membrane-bound tetraheme cytochrome)
PIRSF000014	cytochrome c-type protein
PIRSF000016	cytochrome c554
PIRSF000017	photosynthetic reaction center, cytochrome c subunit
PIRSF000018	membrane-bound alcohol dehydrogenase, cytochrome c subunit
PIRSF000019	ubiquinol-cytochrome-c reductase (cytochrome c1) (complex III), nonheme 11 kDa subunit
PIRSF000021	ubiquinol-cytochrome-c reductase, iron-sulfur subunit
PIRSF000022	ubiquinol-cytochrome-c reductase 14 kDa protein
PIRSF000023	ubiquinol-cytochrome-c reductase (cytochrome c1) (complex III), nonheme subunit 9/10
PIRSF000024	cytochrome c3
PIRSF000025	membrane-anchored cytochrome, Bacillus subtilis c550 type
PIRSF000026	high-molecular-weight cytochrome c
PIRSF000027	cytochrome c'
PIRSF000028	apocytochrome f precursor
PIRSF000029	cytochrome b562
PIRSF000031	bifunctional cytochrome b/c1
PIRSF000032	cytochrome b6
PIRSF000033	cytochrome b6-f complex, subunit IV
PIRSF000034	cytochrome b6-f complex, subunit V
PIRSF000035	cytochrome b-c1 6.4K protein
PIRSF000036	cytochrome b559, alpha subunit
PIRSF000037	cytochrome b559, beta subunit
PIRSF000038	cytochrome b5
PIRSF000039	phenol hydroxylase P0 protein
PIRSF000040	methane/phenol/toluene hydroxylase component
PIRSF000041	phenol 2-monooxygenase component M
PIRSF000042	phenol 2-monooxygenase component N
PIRSF000043	phenol 2-monooxygenase component O
PIRSF000044	methane monooxygenase, reductase component
PIRSF000045	cytochrome P450 CYP2D6
PIRSF000046	cytochrome P450 CYP11B1
PIRSF000047	cytochrome P450, CYP7A1 type
PIRSF000048	cytochrome P450 CYP51
PIRSF000049	cytochrome P450 CYP19
