SM00101	14_3_3: 14-3-3 homologues
SM00474	35EXOc: 3'-5' exonuclease
SM00294	4.1m: putative band 4.1 homologues' binding motif
SM00475	53EXOc: 5'-3' exonuclease
SM01350	6PGD: 6-phosphogluconate dehydrogenase, C-terminal domain
SM01381	7TM_GPCR_Srsx: Serpentine type 7TM GPCR chemoreceptor Srsx
SM00506	A1pp: Appr-1"-p processing enzyme
SM01360	A2M: Alpha-2-macroglobulin family
SM01359	A2M_N_2: Alpha-2-Macroglobulin
SM01361	A2M_recep: A-macroglobulin receptor
SM00006	A4_EXTRA: amyloid A4
SM00382	AAA: ATPases associated with a variety of cellular activities
SM00763	AAA_PrkA: PrkA AAA domain
SM00499	AAI: Plant lipid transfer protein / seed storage protein / trypsin-alpha amylase inhibitor domain family
SM00642	Aamy: Alpha-amylase domain
SM00632	Aamy_C: 
SM00783	A_amylase_inhib: Alpha amylase inhibitor
SM00785	AARP2CN: AARP2CN (NUC121) domain
SM00014	acidPPc: Acid phosphatase homologues
SM00608	ACR: ADAM Cysteine-Rich Domain
SM01363	ACTH_domain: Corticotropin ACTH domain
SM00268	ACTIN: Actin
SM00995	AD: Anticodon-binding domain
SM00789	Ad_cyc_g-alpha: Adenylate cyclase G-alpha binding domain
SM00552	ADEAMc: tRNA-specific and double-stranded RNA adenosine deaminase (RNA-specific editase)
SM00788	Adenylsucc_synt: Adenylosuccinate synthetase
SM00102	ADF: Actin depolymerisation factor/cofilin -like domains
SM00996	AdoHcyase: S-adenosyl-L-homocysteine hydrolase
SM00997	AdoHcyase_NAD: S-adenosyl-L-homocysteine hydrolase, NAD binding domain
SM00998	ADSL_C: Adenylosuccinate lyase C-terminus
SM00999	Aerolysin: Aerolysin toxin
SM00790	AFOR_N: Aldehyde ferredoxin oxidoreductase, N-terminal domain
SM00743	Agenet: Tudor-like domain present in plant sequences.
SM00791	Agglutinin: 
SM00792	Agouti: Agouti protein
SM00793	AgrB: Accessory gene regulator B
SM00794	AgrD: Staphylococcal AgrD protein
SM00795	Agro_virD5: Agrobacterium VirD5 protein
SM00805	AGTRAP: Angiotensin II, type I receptor-associated protein
SM01000	Aha1_N: Activator of Hsp90 ATPase, N-terminal
SM00796	AHS1: Allophanate hydrolase subunit 1
SM00797	AHS2: Allophanate hydrolase subunit 2
SM00798	AICARFT_IMPCHas: AICARFT/IMPCHase bienzyme
SM01353	AIF_C: Apoptosis-inducing factor, mitochondrion-associated, C-term
SM00806	AIP3: Actin interacting protein 3
SM01001	AIRC: AIR carboxylase
SM00807	AKAP_110: A-kinase anchor protein 110 kDa
SM01004	ALAD: Delta-aminolevulinic acid dehydratase
SM01002	AlaDh_PNT_C: Alanine dehydrogenase/PNT, C-terminal domain
SM01003	AlaDh_PNT_N: Alanine dehydrogenase/PNT, N-terminal domain
SM01005	Ala_racemase_C: Alanine racemase, C-terminal domain
SM00103	ALBUMIN: serum albumin
SM01006	AlcB: Siderophore biosynthesis protein domain
SM01007	Aldolase_II: Class II Aldolase and Adducin N-terminal domain
SM01008	Ald_Xan_dh_C: Aldehyde oxidase and xanthine dehydrogenase, a/b hammerhead domain
SM01009	AlkA_N: AlkA N-terminal domain
SM00098	alkPPc: Alkaline phosphatase homologues
SM00809	Alpha_adaptinC2: Adaptin C-terminal domain
SM00810	Alpha-amyl_C2: Alpha-amylase C-terminal beta-sheet domain
SM00811	Alpha_kinase: Alpha-kinase family
SM00813	Alpha-L-AF_C: Alpha-L-arabinofuranosidase C-terminus
SM00812	Alpha_L_fucos: Alpha-L-fucosidase
SM00872	Alpha-mann_mid: Alpha mannosidase, middle domain
SM00814	Alpha_TIF: Alpha trans-inducing protein (Alpha-TIF)
